#Depth	TVD	DX	DY	GR	RT	RI	RXO	DEN	SP
28.250	28.250	-0.024	0.115	67.162	32.009	7.233	8.128	2.189	-9.162
28.375	28.375	-0.024	0.116	69.054	37.008	7.305	7.961	2.196	-9.116
28.500	28.500	-0.024	0.116	68.120	42.852	7.400	7.995	2.184	-9.188
28.625	28.625	-0.024	0.117	65.992	46.229	7.452	7.827	2.159	-9.239
28.750	28.750	-0.025	0.117	65.891	45.181	7.408	7.634	2.135	-9.276
28.875	28.875	-0.025	0.118	69.395	40.151	7.262	7.584	2.120	-9.281
29.000	29.000	-0.025	0.118	74.011	33.623	7.068	7.750	2.116	-9.285
29.125	29.125	-0.025	0.119	74.678	28.774	6.918	7.796	2.123	-9.322
29.250	29.250	-0.025	0.119	72.145	26.323	6.854	7.705	2.135	-9.417
29.375	29.375	-0.025	0.120	68.309	25.501	6.855	7.665	2.147	-9.597
29.500	29.500	-0.025	0.120	64.941	25.341	6.889	7.771	2.156	-9.768
29.625	29.625	-0.025	0.121	62.355	25.502	6.957	7.944	2.155	-9.942
29.750	29.750	-0.025	0.121	61.966	26.139	7.061	8.040	2.147	-10.151
29.875	29.875	-0.025	0.122	62.987	27.503	7.201	8.070	2.137	-10.353
30.000	30.000	-0.026	0.122	62.689	29.667	7.372	7.927	2.129	-10.489
30.125	30.124	-0.023	0.129	61.754	32.427	7.538	7.657	2.129	-10.496
30.250	30.249	-0.021	0.136	62.210	35.110	7.650	7.623	2.132	-10.524
30.375	30.374	-0.018	0.142	63.089	37.216	7.674	7.689	2.137	-10.461
30.500	30.499	-0.015	0.149	62.817	38.504	7.605	7.654	2.142	-10.305
30.625	30.623	-0.013	0.155	60.466	38.994	7.453	7.580	2.142	-10.182
30.750	30.748	-0.010	0.162	57.984	39.233	7.271	7.550	2.128	-10.001
30.875	30.873	-0.008	0.168	56.629	39.581	7.098	7.524	2.097	-9.834
31.000	30.997	-0.005	0.175	58.260	40.049	6.967	7.297	2.057	-9.707
31.125	31.122	-0.003	0.181	62.018	40.047	6.903	6.883	2.028	-9.612
31.250	31.247	0.000	0.188	65.031	38.990	6.888	6.751	2.023	-9.443
31.375	31.372	0.002	0.195	67.256	36.723	6.903	7.083	2.042	-9.314
31.500	31.496	0.005	0.201	67.910	33.687	6.930	7.362	2.073	-9.162
31.625	31.621	0.007	0.208	65.843	30.878	6.972	7.551	2.098	-8.903
31.750	31.746	0.010	0.214	63.227	29.184	7.049	7.592	2.112	-8.630
