#Depth	AC	GR	R025	R2M	RA2	RI	RT	RXO	SP
44.625	0.000	0.000	15.474	21.088	0.000	0.000	0.000	0.000	0.000
44.750	0.000	0.000	15.669	20.919	0.000	0.000	0.000	0.000	0.000
44.875	0.000	0.000	15.818	20.854	0.000	0.000	0.000	0.000	0.000
45.000	0.000	0.000	15.926	20.975	0.000	0.000	0.000	0.000	0.000
45.125	0.000	0.000	16.028	21.083	0.000	0.000	0.000	0.000	0.000
45.250	0.000	0.000	16.050	21.381	0.000	0.000	0.000	0.000	0.000
45.375	0.000	0.000	15.823	21.669	0.000	0.000	0.000	0.000	0.000
45.500	0.000	0.000	15.452	22.015	0.000	0.000	0.000	0.000	0.000
45.625	0.000	0.000	15.406	22.298	0.000	0.000	0.000	0.000	0.000
45.750	0.000	0.000	15.395	22.622	0.000	0.000	0.000	0.000	0.000
45.875	0.000	0.000	15.345	22.889	0.000	0.000	0.000	0.000	0.000
46.000	0.000	0.000	15.177	23.264	0.000	0.000	0.000	0.000	0.000
46.125	0.000	0.000	15.010	23.980	0.000	0.000	0.000	0.000	0.000
46.250	0.000	0.000	14.878	24.584	0.000	0.000	0.000	0.000	0.000
46.375	0.000	0.000	14.767	25.396	0.000	0.000	0.000	0.000	0.000
46.500	0.000	0.000	14.657	26.042	0.000	0.000	0.000	0.000	0.000
46.625	0.000	0.000	14.557	26.562	0.000	0.000	0.000	0.000	0.000
46.750	0.000	0.000	14.473	26.887	0.000	0.000	0.000	0.000	0.000
46.875	0.000	0.000	14.389	27.061	0.000	0.000	0.000	0.000	0.000
47.000	0.000	0.000	14.324	27.163	0.000	0.000	0.000	0.000	0.000
47.125	0.000	0.000	14.261	26.654	0.000	0.000	0.000	0.000	0.000
47.250	0.000	0.000	14.198	25.896	0.000	0.000	0.000	0.000	0.000
47.375	0.000	0.000	14.102	25.259	0.000	0.000	0.000	0.000	0.000
47.500	0.000	0.000	13.994	24.327	0.000	0.000	0.000	0.000	0.000
47.625	0.000	0.000	13.886	23.698	0.000	0.000	0.000	0.000	0.000
47.750	0.000	0.000	13.706	23.076	0.000	0.000	0.000	0.000	0.000
47.875	0.000	0.000	13.438	22.547	0.000	0.000	0.000	0.000	0.000
48.000	0.000	0.000	13.116	22.068	0.000	0.000	0.000	0.000	0.000
48.125	0.000	0.000	12.876	21.724	0.000	0.000	0.000	0.000	0.000
48.250	0.000	0.000	12.601	21.267	0.000	0.000	0.000	0.000	0.000
48.375	0.000	0.000	12.523	20.870	0.000	0.000	0.000	0.000	0.000
48.500	0.000	0.000	12.396	20.467	0.000	0.000	0.000	0.000	0.000
48.625	0.000	0.000	12.086	20.316	0.000	0.000	0.000	0.000	0.000
48.750	0.000	0.000	11.846	20.599	0.000	0.000	0.000	0.000	0.000
48.875	0.000	0.000	11.663	21.182	0.000	0.000	0.000	0.000	0.000
49.000	0.000	0.000	11.503	21.661	0.000	0.000	0.000	0.000	0.000
49.125	0.000	0.000	11.332	22.147	0.000	0.000	0.000	0.000	0.000
49.250	0.000	0.000	11.214	22.776	0.000	0.000	0.000	0.000	0.000
49.375	0.000	0.000	11.004	23.390	0.000	0.000	0.000	0.000	0.000
49.500	0.000	0.000	10.631	23.907	0.000	0.000	0.000	0.000	0.000
49.625	0.000	0.000	9.861	20.271	0.000	0.000	0.000	0.000	0.000
