#Depth	TVD	DX	DY	DEN	GR	RT	RI	RXO	SP
48.875	48.810	-1.367	-0.881	2.141	71.310	12.545	9.749	10.424	-15.669
49.000	48.935	-1.375	-0.886	2.122	71.988	13.030	10.096	10.565	-15.603
49.125	49.059	-1.383	-0.891	2.117	76.650	13.351	10.335	10.474	-15.576
49.250	49.184	-1.391	-0.896	2.124	80.413	13.479	10.472	10.260	-15.546
49.375	49.309	-1.399	-0.901	2.140	81.956	13.425	10.539	10.292	-15.505
49.500	49.433	-1.407	-0.905	2.158	83.691	13.254	10.592	10.460	-15.468
49.625	49.558	-1.414	-0.910	2.172	84.643	13.082	10.706	10.768	-15.478
49.750	49.682	-1.422	-0.915	2.182	80.402	13.036	10.926	11.353	-15.539
49.875	49.807	-1.430	-0.920	2.184	72.750	13.195	11.276	12.088	-15.599
50.000	49.931	-1.438	-0.924	2.177	67.760	13.564	11.769	12.722	-15.632
50.125	50.056	-1.446	-0.929	2.163	70.003	14.023	12.347	12.741	-15.672
50.250	50.181	-1.454	-0.934	2.148	73.209	14.292	12.804	12.635	-15.742
50.375	50.305	-1.462	-0.939	2.143	73.509	14.112	12.892	13.009	-15.849
50.500	50.430	-1.469	-0.943	2.153	72.764	13.348	12.418	13.300	-16.080
50.625	50.554	-1.477	-0.948	2.177	75.616	12.045	11.344	11.870	-16.564
50.750	50.679	-1.485	-0.953	2.201	82.433	10.626	10.077	9.424	-17.219
50.875	50.803	-1.493	-0.958	2.216	91.573	9.423	8.935	7.927	-18.018
51.000	50.928	-1.501	-0.962	2.223	100.502	8.659	8.128	7.159	-18.913
51.125	51.053	-1.509	-0.967	2.232	104.806	8.493	7.824	7.230	-19.814
51.250	51.177	-1.517	-0.972	2.256	104.104	8.774	7.941	8.045	-20.661
51.375	51.302	-1.524	-0.977	2.292	100.160	9.381	8.402	8.922	-21.406
51.500	51.426	-1.532	-0.982	2.322	95.486	10.179	9.083	9.080	-21.981
51.625	51.551	-1.540	-0.986	2.321	91.551	11.014	9.822	10.446	-22.278
51.750	51.676	-1.548	-0.991	2.287	89.430	11.722	10.438	10.988	-22.398
51.875	51.800	-1.556	-0.996	2.236	87.797	12.210	10.833	10.684	-22.362
52.000	51.925	-1.564	-1.001	2.190	84.314	12.471	11.007	10.977	-22.216
52.125	52.049	-1.572	-1.005	2.171	79.769	12.642	11.074	11.241	-21.985
52.250	52.174	-1.580	-1.010	2.175	77.807	13.002	11.257	11.016	-21.636
52.375	52.298	-1.587	-1.015	2.188	78.068	13.809	11.761	10.657	-21.154
52.500	52.423	-1.595	-1.020	2.195	76.623	15.249	12.764	11.607	-20.522
52.625	52.548	-1.603	-1.024	2.185	71.219	17.445	14.460	14.773	-19.694
52.750	52.672	-1.611	-1.029	2.163	64.751	20.031	16.648	18.926	-18.710
52.875	52.797	-1.619	-1.034	2.138	61.067	22.547	18.983	22.372	-17.625
53.000	52.921	-1.627	-1.039	2.118	60.455	24.461	20.919	23.368	-16.536
53.125	53.046	-1.635	-1.043	2.108	61.315	25.257	21.822	22.198	-15.521
53.250	53.170	-1.642	-1.048	2.107	60.695	25.203	21.880	20.806	-14.631
53.375	53.295	-1.650	-1.053	2.110	59.163	24.687	21.508	19.953	-13.896
53.500	53.420	-1.658	-1.058	2.114	59.644	24.087	21.092	20.201	-13.332
53.625	53.544	-1.666	-1.062	2.116	62.305	23.589	20.801	20.597	-13.033
53.750	53.669	-1.674	-1.067	2.113	62.602	23.083	20.488	20.838	-12.980
53.875	53.793	-1.682	-1.072	2.105	59.305	22.371	19.925	20.716	-13.172
54.000	53.918	-1.690	-1.077	2.098	57.762	21.281	18.940	20.044	-13.510
54.125	54.043	-1.698	-1.082	2.099	62.711	19.732	17.487	17.546	-13.928
54.250	54.167	-1.705	-1.086	2.112	70.142	17.981	15.870	14.278	-14.404
54.375	54.292	-1.713	-1.091	2.135	76.185	16.301	14.357	11.982	-14.943
54.500	54.416	-1.721	-1.096	2.162	78.864	14.944	13.140	11.212	-15.503
54.625	54.541	-1.729	-1.101	2.184	78.288	14.138	12.362	10.972	-16.055
54.750	54.665	-1.737	-1.105	2.194	76.541	13.772	11.930	11.245	-16.582
54.875	54.790	-1.745	-1.110	2.192	76.179	13.693	11.763	11.457	-17.007
55.000	54.915	-1.753	-1.115	2.181	76.539	13.702	11.754	11.328	-17.326
55.125	55.039	-1.760	-1.120	2.161	75.812	13.629	11.795	10.964	-17.505
55.250	55.164	-1.768	-1.124	2.138	74.718	13.495	11.831	10.975	-17.532
55.375	55.288	-1.776	-1.129	2.118	73.412	13.494	11.940	11.545	-17.441
55.500	55.413	-1.784	-1.134	2.122	70.713	13.947	12.316	11.909	-17.340
55.625	55.537	-1.792	-1.139	2.185	67.447	15.409	13.407	11.460	-17.281
55.750	55.662	-1.800	-1.143	2.305	67.031	17.935	15.443	12.647	-17.311
55.875	55.787	-1.808	-1.148	2.455	68.609	21.149	18.423	18.791	-17.443
56.000	55.911	-1.816	-1.153	2.581	68.859	23.918	21.628	34.910	-17.610
56.125	56.036	-1.823	-1.158	2.617	68.033	24.219	22.824	50.272	-17.810
56.250	56.160	-1.831	-1.163	2.569	70.604	21.755	20.891	46.050	-18.087
56.375	56.285	-1.839	-1.167	2.472	78.220	17.502	16.861	26.860	-18.429
56.500	56.410	-1.847	-1.172	2.376	86.486	13.106	12.701	11.838	-18.764
56.625	56.534	-1.855	-1.177	2.322	91.203	9.998	9.762	8.218	-18.997
56.750	56.659	-1.863	-1.182	2.309	95.258	8.173	7.936	7.418	-19.080
56.875	56.783	-1.871	-1.186	2.317	99.045	7.299	6.948	7.507	-19.052
57.000	56.908	-1.878	-1.191	2.326	100.760	7.022	6.534	7.302	-18.984
57.125	57.032	-1.886	-1.196	2.322	99.752	7.110	6.517	6.981	-18.915
57.250	57.157	-1.894	-1.201	2.306	99.168	7.334	6.662	6.919	-18.856
