#Depth	GR	RT	RI	RXO	DEN	SP
105.750	61.895	13.395	11.342	16.209	2.526	-4.681
105.875	65.883	11.032	9.367	8.975	2.480	-4.662
106.000	69.247	8.990	7.643	6.338	2.413	-4.641
106.125	70.436	7.817	6.558	6.000	2.347	-4.621
106.250	67.026	7.356	6.072	6.280	2.293	-4.606
106.375	68.024	7.667	6.262	6.111	2.275	-4.602
106.500	70.652	8.280	6.686	6.108	2.277	-4.609
106.625	75.493	8.824	7.078	6.446	2.283	-4.629
106.750	78.140	9.145	7.312	6.719	2.284	-4.659
106.875	76.509	9.163	7.323	6.580	2.278	-4.701
107.000	76.119	8.789	7.069	6.222	2.265	-4.751
107.125	72.629	8.043	6.556	5.796	2.260	-4.807
107.250	70.362	7.292	6.004	5.295	2.258	-4.861
107.375	68.882	6.752	5.585	4.915	2.261	-4.908
107.500	69.874	6.537	5.398	4.841	2.265	-4.943
107.625	73.246	6.687	5.474	5.098	2.271	-4.962
107.750	74.387	7.176	5.777	5.433	2.284	-4.963
107.875	74.387	7.724	6.078	6.128	2.296	-4.939
108.000	69.490	7.916	6.196	6.291	2.305	-4.897
108.125	67.722	7.792	6.141	5.931	2.309	-4.843
108.250	67.718	7.532	6.011	5.294	2.308	-4.782
108.375	66.591	7.334	5.918	4.909	2.305	-4.719
108.500	65.631	7.302	5.938	5.557	2.294	-4.660
108.625	66.628	7.446	6.112	6.210	2.276	-4.615
108.750	72.660	7.601	6.350	5.982	2.269	-4.585
108.875	76.619	7.639	6.516	5.656	2.273	-4.571
109.000	78.683	7.538	6.548	5.596	2.280	-4.575
109.125	78.660	7.316	6.427	5.730	2.279	-4.595
109.250	71.035	6.980	6.167	5.533	2.265	-4.630
109.375	73.029	6.577	5.879	5.460	2.254	-4.681
109.500	73.254	6.379	5.771	5.507	2.254	-4.744
109.625	75.043	6.516	5.993	5.710	2.259	-4.816
109.750	74.900	7.241	6.813	6.932	2.261	-4.894
109.875	70.048	8.869	8.508	10.334	2.249	-4.977
110.000	63.861	11.727	11.282	16.899	2.223	-5.063
110.125	55.717	17.138	15.744	25.667	2.192	-5.146
110.250	52.203	24.722	21.854	30.462	2.163	-5.225
110.375	50.121	31.381	27.652	33.253	2.136	-5.297
110.500	49.687	35.492	31.706	34.207	2.113	-5.363
110.625	50.782	36.762	33.472	32.615	2.097	-5.421
110.750	50.475	36.176	33.586	27.615	2.085	-5.474
110.875	51.472	33.045	31.168	23.705	2.084	-5.522
111.000	53.287	29.341	28.079	21.296	2.093	-5.571
111.125	55.487	25.860	25.076	17.732	2.111	-5.622
111.250	56.071	23.199	22.705	14.055	2.136	-5.676
111.375	53.768	21.531	21.145	12.490	2.161	-5.736
111.500	49.789	20.438	20.080	14.484	2.180	-5.800
111.625	46.299	19.954	19.629	15.483	2.177	-5.868
111.750	45.125	19.915	19.675	15.642	2.168	-5.938
111.875	47.962	20.364	20.274	15.183	2.168	-6.007
112.000	51.273	21.290	21.379	15.804	2.179	-6.074
112.125	52.271	22.786	23.022	18.719	2.191	-6.137
112.250	53.248	25.137	25.429	23.120	2.185	-6.194
112.375	53.248	27.676	27.996	25.183	2.160	-6.244
112.500	55.292	29.143	29.708	25.044	2.144	-6.283
112.625	55.930	29.484	30.387	21.640	2.146	-6.313
112.750	55.013	29.301	30.504	17.870	2.160	-6.329
112.875	53.297	29.449	30.818	16.821	2.173	-6.332
113.000	50.871	30.705	32.088	18.919	2.174	-6.318
113.125	51.702	33.528	34.765	23.207	2.166	-6.284
113.250	52.670	37.006	38.062	24.494	2.159	-6.234
113.375	55.213	39.444	40.472	24.915	2.156	-6.172
113.500	57.097	39.435	40.659	24.654	2.161	-6.100
113.625	57.460	36.508	38.098	23.333	2.175	-6.024
113.750	60.214	31.678	33.615	21.006	2.195	-5.946
113.875	59.550	27.786	29.722	20.104	2.212	-5.875
114.000	61.066	25.743	27.507	17.763	2.223	-5.814
114.125	59.348	24.926	26.537	17.196	2.227	-5.765
