#Depth	DEN	SP	R2M	R025	GR	RT	RI	RXO	RA2
253.500	2.373	-5.834	7.631	7.633	63.589	7.649	6.808	7.939	7.631
253.625	2.360	-5.792	7.476	7.448	65.341	7.478	6.648	7.415	7.476
253.750	2.349	-5.778	7.191	7.361	67.150	7.303	6.474	6.855	7.191
253.875	2.342	-5.768	6.835	7.381	68.422	7.192	6.329	6.881	6.835
254.000	2.341	-5.788	6.482	7.453	68.871	7.201	6.255	7.106	6.482
254.125	2.346	-5.816	6.216	7.496	69.091	7.339	6.281	7.238	6.216
254.250	2.350	-5.893	6.068	7.483	72.388	7.518	6.358	7.266	6.068
254.375	2.352	-5.993	6.060	7.445	81.269	7.675	6.447	7.227	6.060
254.500	2.349	-6.108	6.203	7.462	92.501	7.812	6.546	7.167	6.203
254.625	2.343	-6.182	6.496	7.730	100.755	8.043	6.725	7.501	6.496
254.750	2.339	-6.222	6.852	8.279	104.555	8.449	7.046	8.475	6.852
254.875	2.343	-6.230	7.195	8.928	102.588	9.010	7.511	9.764	7.195
255.000	2.355	-6.214	7.468	9.396	98.897	9.586	8.029	10.388	7.468
255.125	2.369	-6.157	7.642	9.486	100.032	9.906	8.390	10.250	7.642
255.250	2.379	-6.063	7.746	9.355	104.596	9.855	8.463	9.749	7.746
255.375	2.387	-5.950	7.796	9.148	107.994	9.491	8.254	9.227	7.796
255.500	2.390	-5.826	7.789	8.958	111.908	9.010	7.895	8.777	7.789
255.625	2.387	-5.711	7.717	8.855	122.932	8.651	7.566	8.408	7.717
255.750	2.382	-5.620	7.608	8.835	134.757	8.494	7.362	8.254	7.608
255.875	2.381	-5.556	7.486	8.878	142.152	8.519	7.295	8.554	7.486
256.000	2.384	-5.517	7.366	8.947	143.932	8.651	7.337	9.015	7.366
256.125	2.386	-5.499	7.240	8.982	141.026	8.784	7.435	9.118	7.240
256.250	2.385	-5.494	7.099	8.998	137.141	8.863	7.526	8.940	7.099
256.375	2.379	-5.502	6.948	9.052	135.364	8.907	7.600	8.827	6.948
256.500	2.371	-5.513	6.822	9.199	136.493	8.986	7.690	8.841	6.822
256.625	2.366	-5.538	6.798	9.490	137.389	9.211	7.875	9.113	6.798
256.750	2.365	-5.548	6.931	9.884	137.162	9.590	8.179	9.529	6.931
256.875	2.367	-5.544	7.251	10.274	135.967	10.068	8.580	10.073	7.251
257.000	2.372	-5.516	7.722	10.523	132.814	10.524	8.996	11.162	7.722
257.125	2.373	-5.500	8.208	10.531	125.795	10.736	9.256	11.909	8.208
257.250	2.368	-5.490	8.550	10.402	120.193	10.617	9.254	11.240	8.550
257.375	2.360	-5.475	8.678	10.235	118.744	10.221	8.996	9.848	8.678
257.500	2.350	-5.470	8.629	10.122	118.683	9.735	8.604	9.095	8.629
257.625	2.337	-5.485	8.549	10.101	117.039	9.399	8.263	9.090	8.549
257.750	2.323	-5.523	8.586	10.091	116.361	9.293	8.080	9.439	8.586
257.875	2.314	-5.569	8.759	10.074	120.950	9.382	8.066	10.223	8.759
258.000	2.315	-5.625	8.976	10.061	129.773	9.549	8.161	11.394	8.976
258.125	2.329	-5.654	9.084	10.079	133.745	9.657	8.262	10.501	9.084
258.250	2.345	-5.650	9.074	10.192	129.102	9.703	8.332	9.612	9.074
258.375	2.360	-5.582	9.078	10.432	119.919	9.804	8.433	9.266	9.078
258.500	2.376	-5.438	9.262	10.739	113.547	10.097	8.669	10.601	9.262
258.625	2.387	-5.217	9.649	10.932	114.984	10.595	9.103	13.825	9.649
258.750	2.381	-4.954	9.952	10.894	122.407	10.975	9.518	14.626	9.952
258.875	2.351	-4.681	9.910	10.599	131.195	10.891	9.619	11.681	9.910
259.000	2.313	-4.391	9.450	10.147	135.098	10.250	9.247	9.130	9.450
259.125	2.288	-4.121	8.760	9.774	130.018	9.377	8.566	8.566	8.760
259.250	2.277	-3.885	8.192	9.501	120.968	8.750	7.980	8.917	8.192
259.375	2.270	-3.732	7.860	9.206	112.329	8.495	7.642	9.591	7.860
259.500	2.265	-3.648	7.665	8.850	106.904	8.461	7.491	9.734	7.665
259.625	2.264	-3.617	7.422	8.557	106.947	8.381	7.341	8.522	7.422
259.750	2.264	-3.607	7.107	8.452	107.397	8.228	7.134	7.507	7.107
259.875	2.261	-3.615	6.831	8.569	105.575	8.186	6.998	7.533	6.831
260.000	2.251	-3.645	6.722	8.846	103.273	8.433	7.081	8.246	6.722
260.125	2.240	-3.671	6.845	9.174	103.245	9.003	7.468	9.171	6.845
260.250	2.233	-3.692	7.085	9.509	102.096	9.649	8.002	9.662	7.085
260.375	2.229	-3.694	7.386	9.938	97.402	10.202	8.546	9.365	7.386
260.500	2.222	-3.684	7.786	10.553	92.487	10.675	9.065	9.672	7.786
260.625	2.210	-3.683	8.444	11.337	90.775	11.253	9.677	11.098	8.444
260.750	2.199	-3.685	9.366	12.057	90.801	11.967	10.431	12.905	9.366
260.875	2.198	-3.669	10.427	12.459	93.100	12.581	11.170	14.634	10.427
261.000	2.207	-3.631	11.394	12.394	97.499	12.728	11.572	15.461	11.394
261.125	2.225	-3.571	11.956	11.830	100.251	12.067	11.252	14.209	11.956
261.250	2.244	-3.498	12.058	10.981	99.867	10.912	10.395	12.495	12.058
261.375	2.258	-3.426	11.718	10.029	99.041	9.640	9.305	11.368	11.718
261.500	2.263	-3.359	11.018	9.148	100.429	8.511	8.238	10.305	11.018
261.625	2.263	-3.279	10.049	8.474	102.267	7.660	7.352	8.491	10.049
261.750	2.263	-3.205	9.009	7.974	101.811	7.066	6.671	7.534	9.009
261.875	2.266	-3.140	8.044	7.584	100.254	6.719	6.209	7.327	8.044
262.000	2.273	-3.081	7.259	7.264	100.492	6.578	5.952	7.202	7.259
262.125	2.276	-3.030	6.719	7.052	101.139	6.591	5.883	6.887	6.719
262.250	2.271	-3.006	6.360	6.995	98.873	6.677	5.935	6.588	6.360
262.375	2.267	-2.996	6.165	7.073	95.937	6.834	6.093	6.541	6.165
262.500	2.266	-2.998	6.140	7.217	96.169	7.094	6.369	6.813	6.140
262.625	2.268	-2.995	6.304	7.423	98.945	7.480	6.777	7.244	6.304
262.750	2.267	-2.999	6.573	7.647	100.176	7.889	7.224	7.591	6.573
262.875	2.265	-3.007	6.872	7.793	99.583	8.194	7.591	7.850	6.872
263.000	2.264	-3.025	7.131	7.810	99.147	8.314	7.779	7.903	7.131
263.125	2.260	-3.042	7.308	7.748	98.379	8.241	7.738	7.646	7.308
263.250	2.253	-3.057	7.410	7.691	96.673	8.088	7.569	7.467	7.410
263.375	2.249	-3.089	7.430	7.656	95.081	7.925	7.345	7.485	7.430
263.500	2.248	-3.125	7.349	7.665	96.041	7.787	7.119	7.510	7.349
263.625	2.250	-3.176	7.133	7.743	99.684	7.701	6.936	7.533	7.133
263.750	2.254	-3.230	6.821	7.889	102.837	7.691	6.830	7.404	6.821
263.875	2.257	-3.288	6.489	8.145	105.067	7.821	6.856	7.241	6.489
264.000	2.256	-3.359	6.287	8.599	105.825	8.210	7.104	7.157	6.287
264.125	2.253	-3.450	6.485	9.459	103.227	9.172	7.813	7.783	6.485
264.250	2.256	-3.553	7.162	10.873	97.908	10.869	9.152	9.721	7.162
264.375	2.262	-3.633	8.278	12.902	93.289	13.337	11.273	13.897	8.278
264.500	2.265	-3.704	9.677	15.239	90.414	16.261	14.086	17.920	9.677
264.625	2.257	-3.794	11.144	17.045	87.471	18.636	16.867	20.946	11.144
264.750	2.250	-3.860	12.468	17.667	83.771	19.446	18.406	24.595	12.468
264.875	2.257	-3.918	13.464	16.951	81.863	18.354	18.029	29.555	13.464
265.000	2.276	-3.975	13.901	15.318	83.195	15.875	16.027	27.222	13.901
265.125	2.288	-4.004	13.409	13.561	86.753	12.954	13.290	19.909	13.409
265.250	2.276	-4.019	12.113	12.220	91.516	10.413	10.748	13.140	12.113
265.375	2.247	-4.051	10.313	11.335	97.439	8.592	8.776	9.561	10.313
265.500	2.226	-4.075	8.474	10.804	101.847	7.635	7.532	8.131	8.474
265.625	2.228	-4.069	7.171	10.732	103.020	7.695	7.177	7.637	7.171
265.750	2.244	-4.100	6.656	11.177	103.426	8.585	7.562	7.370	6.656
265.875	2.270	-4.127	7.083	12.176	103.815	10.305	8.692	7.509	7.083
266.000	2.305	-4.108	8.472	13.577	102.468	12.813	10.579	9.141	8.472
266.125	2.351	-4.079	10.592	14.724	97.195	15.686	13.042	16.074	10.592
