#Depth	DEN	GR	RT	RI	RXO	SP
77.375	2.257	47.955	10.097	7.783	7.081	-15.744
77.500	2.349	46.449	10.055	7.798	7.065	-15.551
77.625	2.371	46.155	9.795	7.634	7.402	-15.329
77.750	2.336	48.697	9.441	7.366	7.886	-15.124
77.875	2.284	52.687	9.125	7.092	8.302	-14.990
78.000	2.244	56.077	8.955	6.907	8.663	-14.922
78.125	2.221	57.765	8.919	6.829	8.962	-14.863
78.250	2.208	57.548	8.956	6.832	9.012	-14.757
78.375	2.200	55.213	8.993	6.869	8.841	-14.593
78.500	2.190	53.707	8.964	6.886	8.491	-14.380
78.625	2.178	54.126	8.858	6.858	8.144	-14.100
78.750	2.165	54.543	8.700	6.788	7.813	-13.687
78.875	2.150	54.143	8.520	6.689	7.533	-13.089
79.000	2.137	53.446	8.344	6.576	7.358	-12.267
79.125	2.128	52.563	8.173	6.459	7.182	-11.274
79.250	2.129	52.016	7.997	6.337	7.058	-10.155
79.375	2.144	53.675	7.809	6.207	6.913	-8.917
79.500	2.174	58.169	7.628	6.079	6.689	-7.561
79.625	2.206	63.481	7.493	5.973	6.465	-6.160
79.750	2.235	69.167	7.444	5.919	6.335	-4.805
79.875	2.259	74.641	7.495	5.935	6.291	-3.563
80.000	2.282	78.763	7.618	6.023	6.500	-2.477
80.125	2.311	81.550	7.733	6.137	6.913	-1.544
80.250	2.340	83.482	7.776	6.226	7.766	-0.779
80.375	2.360	84.886	7.715	6.255	8.586	-0.206
80.500	2.361	87.388	7.570	6.213	8.180	0.175
80.625	2.346	91.330	7.414	6.140	6.650	0.433
80.750	2.328	92.783	7.297	6.073	5.683	0.627
80.875	2.311	89.247	7.218	6.024	5.466	0.776
81.000	2.299	84.420	7.127	5.968	5.636	0.848
81.125	2.293	82.906	6.966	5.865	5.833	0.859
81.250	2.293	85.861	6.714	5.691	5.864	0.861
81.375	2.299	91.180	6.406	5.455	5.545	0.894
81.500	2.310	96.284	6.127	5.207	5.180	0.951
81.625	2.323	99.939	5.947	5.006	4.962	0.990
81.750	2.330	101.562	5.903	4.892	4.866	0.990
81.875	2.331	100.528	6.018	4.895	4.927	0.946
82.000	2.331	95.665	6.353	5.067	5.180	0.903
82.125	2.339	89.664	6.944	5.428	5.568	0.848
82.250	2.361	84.928	7.832	6.008	6.014	0.735
82.375	2.395	81.037	9.013	6.815	6.820	0.531
82.500	2.432	76.069	10.374	7.802	8.240	0.236
82.625	2.464	69.609	11.634	8.791	9.792	-0.115
82.750	2.480	64.435	12.507	9.573	10.857	-0.521
82.875	2.477	63.651	12.798	9.975	12.127	-1.004
83.000	2.457	67.795	12.446	9.886	12.724	-1.612
83.125	2.426	71.630	11.745	9.471	11.756	-2.297
83.250	2.391	71.870	11.004	8.939	9.879	-3.015
83.375	2.357	69.572	10.426	8.457	8.451	-3.741
83.500	2.323	67.336	10.100	8.122	8.133	-4.483
83.625	2.290	67.091	9.940	7.914	8.089	-5.231
83.750	2.259	69.089	9.856	7.787	7.915	-5.924
83.875	2.234	71.747	9.785	7.701	7.751	-6.501
84.000	2.217	71.466	9.710	7.638	7.670	-6.953
84.125	2.207	68.829	9.648	7.600	7.635	-7.334
84.250	2.202	67.540	9.615	7.592	7.649	-7.657
84.375	2.200	69.047	9.606	7.607	7.746	-7.905
84.500	2.202	71.053	9.597	7.624	7.852	-8.057
84.625	2.204	71.039	9.569	7.621	7.977	-8.153
84.750	2.209	69.446	9.517	7.594	8.076	-8.252
84.875	2.216	67.494	9.450	7.547	8.056	-8.385
85.000	2.224	66.789	9.397	7.503	7.875	-8.503
85.125	2.227	67.138	9.391	7.489	7.740	-8.577
85.250	2.219	67.232	9.462	7.525	7.699	-8.600
85.375	2.200	66.698	9.630	7.628	7.685	-8.569
85.500	2.181	66.118	9.898	7.806	7.643	-8.510
85.625	2.176	66.304	10.201	8.019	7.759	-8.431
85.750	2.194	67.597	10.453	8.207	8.001	-8.293
85.875	2.229	70.839	10.562	8.305	8.198	-8.091
86.000	2.263	74.980	10.441	8.247	8.215	-7.874
86.125	2.280	75.903	10.130	8.047	8.061	-7.676
86.250	2.274	72.609	9.731	7.764	7.798	-7.512
86.375	2.255	67.426	9.377	7.487	7.615	-7.370
