#Depth	GR	RT	RI	RXO	AC	SP	R2M	R025	DEN
224.250	77.126	4.256	3.358	4.025	391.378	-21.416	4.307	2.291	2.304
224.375	77.871	4.265	3.395	4.108	392.211	-21.610	4.146	2.344	2.293
224.500	77.821	4.387	3.512	4.311	394.839	-21.672	3.986	2.521	2.285
224.625	79.242	4.629	3.703	4.685	394.977	-21.764	4.017	2.657	2.275
224.750	81.238	4.954	3.940	5.053	395.098	-21.865	4.050	2.719	2.263
224.875	82.738	5.293	4.180	5.194	395.387	-21.892	3.899	2.770	2.255
225.000	85.470	5.559	4.374	5.021	384.678	-21.825	3.783	2.946	2.253
225.125	89.195	5.614	4.449	5.039	384.793	-21.850	3.502	2.957	2.268
225.250	90.894	5.540	4.441	5.176	380.138	-21.886	3.611	2.988	2.290
225.375	90.030	5.434	4.409	5.329	377.707	-21.881	3.566	2.983	2.307
225.500	87.100	5.384	4.412	5.483	377.267	-21.879	3.595	3.008	2.314
225.625	83.791	5.448	4.487	5.655	376.234	-21.950	3.900	3.073	2.309
225.750	83.146	5.630	4.636	5.837	374.564	-22.123	3.875	2.955	2.297
225.875	83.394	5.830	4.790	6.344	381.778	-22.224	4.027	3.143	2.290
226.000	85.271	6.002	4.937	6.459	383.038	-22.362	4.251	3.503	2.292
226.125	85.291	6.115	5.056	6.288	386.568	-22.464	4.362	3.922	2.299
226.250	85.093	6.202	5.160	6.197	388.917	-22.542	4.415	4.333	2.307
226.375	85.729	6.302	5.269	6.438	386.699	-22.623	4.549	4.669	2.313
226.500	81.954	6.410	5.365	6.779	388.369	-22.673	4.834	4.808	2.310
226.625	83.195	6.533	5.468	6.960	385.673	-22.749	4.955	5.015	2.299
226.750	85.271	6.602	5.544	6.746	381.581	-22.939	4.808	5.107	2.289
226.875	87.228	6.610	5.583	6.660	381.398	-23.186	4.761	5.011	2.285
227.000	88.073	6.628	5.628	6.768	382.172	-23.387	4.688	4.804	2.290
227.125	87.000	6.716	5.713	6.998	381.572	-23.505	4.467	4.674	2.299
227.250	83.623	6.819	5.807	7.464	386.775	-23.673	4.479	4.903	2.299
227.375	81.388	7.011	5.973	7.830	386.394	-23.774	4.668	5.048	2.288
227.500	82.331	7.092	6.093	7.560	386.197	-23.761	4.908	5.163	2.277
227.625	84.278	7.297	6.331	7.597	379.803	-23.822	5.203	5.264	2.272
227.750	86.444	7.713	6.722	8.030	367.454	-23.963	5.660	5.392	2.277
227.875	87.278	8.299	7.206	8.903	353.373	-24.109	6.328	5.554	2.291
228.000	82.311	8.907	7.662	11.030	343.120	-24.218	7.027	5.671	2.310
228.125	78.586	8.963	7.703	11.010	340.161	-24.172	7.510	5.667	2.329
228.250	79.113	8.481	7.376	9.175	348.317	-24.116	7.827	5.544	2.334
228.375	81.089	7.693	6.801	7.638	357.566	-23.976	7.934	5.562	2.324
228.500	83.126	6.916	6.179	6.918	368.760	-23.794	7.849	5.607	2.307
228.625	84.318	6.374	5.672	6.691	381.929	-23.619	7.538	5.497	2.294
228.750	83.325	6.008	5.291	6.523	384.587	-23.400	6.789	5.296	2.291
228.875	82.580	5.898	5.165	6.106	392.864	-23.278	6.407	4.970	2.297
229.000	85.410	5.720	5.000	5.704	394.216	-23.220	6.164	4.722	2.303
229.125	88.897	5.464	4.786	5.562	397.802	-23.100	5.871	4.486	2.304
229.250	91.033	5.178	4.550	5.560	401.631	-22.895	5.568	4.181	2.304
229.375	90.964	4.927	4.342	5.457	401.401	-22.642	5.365	3.844	2.309
229.500	89.225	4.740	4.208	5.139	399.350	-22.386	5.270	3.776	2.321
229.625	90.218	4.797	4.305	5.225	392.592	-22.200	5.023	4.119	2.342
229.750	92.920	5.187	4.746	6.289	380.912	-22.005	4.849	4.395	2.360
229.875	94.113	5.983	5.487	8.800	372.238	-21.883	4.867	4.637	2.379
230.000	93.159	7.226	6.476	11.779	364.934	-21.889	5.055	5.024	2.394
230.125	91.718	8.735	7.571	13.399	356.699	-22.010	5.313	5.569	2.398
230.250	93.457	9.919	8.461	11.592	353.510	-22.128	5.518	5.798	2.391
230.375	94.301	9.825	8.434	9.654	352.674	-22.271	6.210	5.464	2.358
230.500	94.272	9.190	7.921	8.212	354.390	-22.397	6.858	5.268	2.327
230.625	92.801	8.354	7.204	7.700	360.892	-22.484	7.345	5.085	2.301
230.750	90.537	7.517	6.464	7.628	370.066	-22.561	7.692	4.827	2.281
230.875	89.046	6.739	5.779	7.219	380.259	-22.648	8.018	4.441	2.268
231.000	90.536	5.944	5.103	6.047	395.066	-22.699	8.489	3.915	2.261
231.125	90.586	5.120	4.429	4.674	403.497	-22.795	8.110	3.631	2.259
231.250	93.616	4.428	3.827	3.843	413.629	-22.794	7.503	3.296	2.255
231.375	93.636	3.913	3.341	3.398	416.417	-22.749	6.874	2.900	2.250
231.500	91.450	3.578	3.004	3.147	417.077	-22.628	6.177	2.521	2.247
231.625	89.007	3.399	2.824	2.982	420.069	-22.440	5.349	2.213	2.246
231.750	83.742	3.333	2.767	2.987	414.068	-22.360	4.545	1.896	2.248
231.875	84.089	3.427	2.853	3.032	414.334	-22.259	3.828	2.006	2.256
232.000	84.358	3.614	3.026	3.677	406.732	-22.253	3.387	1.905	2.269
232.125	85.500	3.933	3.293	4.657	401.765	-22.259	3.351	1.981	2.284
232.250	86.106	4.353	3.627	5.298	398.835	-22.308	3.572	2.093	2.295
232.375	85.520	4.804	3.979	5.269	394.295	-22.409	3.857	2.123	2.300
232.500	86.960	5.210	4.269	5.327	389.508	-22.426	4.205	2.529	2.298
232.625	84.477	5.405	4.405	5.402	387.989	-22.502	4.649	2.605	2.300
232.750	84.377	5.392	4.386	5.287	385.440	-22.618	5.147	2.804	2.301
232.875	87.586	5.290	4.290	5.195	389.281	-22.830	5.355	3.002	2.290
