#Depth	DEN	SP	R2M	R025	RA2	GR	RT	RI	RXO
63.000	2.343	-21.855	7.679	4.929	7.679	85.067	6.104	5.303	4.475
63.125	2.404	-22.966	7.846	5.265	7.846	82.716	7.243	6.184	6.193
63.250	2.417	-24.182	7.866	5.782	7.866	78.701	8.496	7.251	10.084
63.375	2.374	-25.457	7.942	6.397	7.942	73.023	9.461	8.185	13.569
63.500	2.303	-26.729	7.944	6.975	7.944	68.150	9.761	8.641	12.862
63.625	2.236	-27.954	7.931	7.377	7.931	66.570	9.332	8.446	10.852
63.750	2.197	-29.081	7.917	7.622	7.917	66.655	8.768	8.015	9.809
63.875	2.189	-30.075	7.872	7.791	7.872	66.660	8.526	7.726	9.479
64.000	2.196	-30.920	7.843	7.987	7.843	67.269	8.880	7.847	9.579
64.125	2.186	-31.571	7.958	8.306	7.958	67.329	10.011	8.579	10.832
64.250	2.149	-32.072	8.273	8.720	8.273	63.683	11.662	9.766	13.751
64.375	2.096	-32.414	8.740	9.152	8.740	58.348	13.483	11.176	15.878
64.500	2.045	-32.602	9.263	9.483	9.263	56.371	14.921	12.417	16.536
64.625	2.020	-32.577	9.682	9.542	9.682	59.922	15.220	12.888	16.490
64.750	2.026	-32.378	9.820	9.290	9.820	64.202	14.443	12.503	16.631
64.875	2.054	-31.983	9.643	8.747	9.643	64.718	13.000	11.479	16.452
65.000	2.089	-31.373	9.354	8.004	9.354	61.529	11.415	10.192	15.755
65.125	2.120	-30.503	8.988	7.205	8.988	58.037	10.152	9.015	13.635
65.250	2.145	-29.385	8.630	6.506	8.630	58.006	9.338	8.119	11.306
65.375	2.165	-28.057	8.308	5.979	8.308	59.914	8.947	7.529	10.025
65.500	2.184	-26.598	8.061	5.633	8.061	62.444	8.838	7.182	9.448
65.625	2.207	-25.091	7.931	5.432	7.931	66.574	8.773	6.953	8.997
65.750	2.233	-23.612	7.958	5.264	7.958	72.899	8.515	6.674	8.975
65.875	2.261	-22.229	8.117	5.060	8.117	79.756	8.006	6.272	8.798
66.000	2.295	-21.029	8.246	4.781	8.246	85.569	7.364	5.784	7.514
66.125	2.329	-20.116	8.384	4.439	8.384	88.760	6.849	5.351	5.840
66.250	2.351	-19.496	8.479	4.123	8.479	90.470	6.598	5.075	4.861
66.375	2.354	-19.174	8.502	3.917	8.502	91.644	6.616	4.981	4.560
66.500	2.346	-19.092	8.433	3.870	8.433	92.343	6.819	5.038	4.973
66.625	2.340	-19.246	8.302	3.998	8.302	92.167	7.038	5.160	5.785
66.750	2.345	-19.573	8.129	4.209	8.129	91.119	7.097	5.219	6.195
66.875	2.357	-20.066	7.884	4.437	7.884	90.934	6.946	5.161	5.833
67.000	2.366	-20.671	7.589	4.641	7.589	93.565	6.690	5.030	5.177
67.125	2.367	-21.387	7.382	4.816	7.382	99.350	6.608	4.983	5.156
67.250	2.364	-22.211	7.313	5.000	7.313	105.027	6.918	5.169	5.246
67.375	2.360	-23.135	7.403	5.235	7.403	104.450	7.722	5.677	5.548
67.500	2.353	-24.141	7.630	5.545	7.630	93.559	8.975	6.524	6.693
67.625	2.337	-25.218	7.819	5.937	7.819	78.570	10.404	7.596	9.125
67.750	2.313	-26.304	7.938	6.357	7.938	70.046	11.488	8.541	11.381
67.875	2.283	-27.349	8.002	6.737	8.002	69.852	11.858	9.048	12.185
68.000	2.257	-28.338	8.024	7.008	8.024	71.192	11.488	8.999	12.661
68.125	2.246	-29.211	7.930	7.095	7.930	69.168	10.733	8.530	11.047
68.250	2.245	-29.988	7.732	7.026	7.732	66.639	10.117	8.016	10.174
68.375	2.245	-30.638	7.427	6.843	7.427	66.164	9.835	7.638	10.035
68.500	2.237	-31.180	7.046	6.614	7.046	67.474	9.868	7.452	10.293
68.625	2.218	-31.610	6.744	6.433	6.744	66.927	10.074	7.422	10.059
68.750	2.191	-31.970	6.545	6.356	6.545	63.544	10.255	7.429	9.832
68.875	2.166	-32.270	6.453	6.394	6.453	60.590	10.313	7.401	9.816
69.000	2.151	-32.509	6.427	6.521	6.427	60.432	10.213	7.304	9.816
69.125	2.148	-32.711	6.439	6.680	6.439	63.093	9.958	7.130	9.729
69.250	2.145	-32.840	6.461	6.812	6.461	66.510	9.686	6.946	9.481
69.375	2.136	-32.928	6.541	6.915	6.541	68.139	9.601	6.868	9.332
69.500	2.134	-32.983	6.834	7.016	6.834	65.727	9.920	7.035	9.399
69.625	2.179	-33.017	7.639	7.149	7.639	60.523	10.819	7.590	9.509
69.750	2.278	-33.064	8.752	7.311	8.752	58.184	12.059	8.425	10.804
69.875	2.391	-33.156	9.754	7.487	9.754	58.900	13.263	9.334	16.833
70.000	2.446	-33.304	10.384	7.643	10.384	59.233	13.928	9.978	31.836
70.125	2.405	-33.491	10.745	7.721	10.745	58.944	13.557	9.942	37.606
70.250	2.330	-33.718	11.026	7.674	11.026	60.544	12.515	9.369	21.720
70.375	2.262	-33.954	11.191	7.468	11.191	62.566	11.309	8.562	12.464
70.500	2.217	-34.174	11.088	7.109	11.088	62.360	10.341	7.806	10.433
70.625	2.194	-34.332	10.430	6.665	10.430	61.276	9.827	7.298	10.587
70.750	2.176	-34.396	9.449	6.269	9.449	61.292	9.624	7.025	10.634
70.875	2.163	-34.304	8.566	6.009	8.566	59.983	9.573	6.923	10.433
71.000	2.155	-34.038	8.034	5.921	8.034	57.038	9.549	6.909	10.346
71.125	2.151	-33.547	7.757	6.009	7.757	56.617	9.519	6.929	10.273
71.250	2.147	-32.843	7.551	6.185	7.551	58.532	9.539	6.982	10.025
71.375	2.141	-31.929	7.462	6.376	7.462	60.021	9.685	7.110	10.149
71.500	2.147	-30.856	7.625	6.509	7.625	61.040	9.999	7.349	10.378
71.625	2.182	-29.677	8.193	6.502	8.193	62.491	10.457	7.692	10.570
71.750	2.244	-28.492	8.886	6.379	8.886	64.770	10.883	8.012	10.943
71.875	2.317	-27.395	9.397	6.202	9.397	67.900	11.082	8.164	12.455
72.000	2.378	-26.465	9.672	6.051	9.672	74.280	10.889	8.024	14.428
