#Depth	SP	GR	RI	RT	RXO	DEN
124.500	-10.876	73.502	17.637	19.811	38.870	2.403
124.625	-11.067	73.548	16.455	18.138	32.413	2.289
124.750	-10.918	73.837	13.747	14.828	23.842	2.173
124.875	-10.312	74.232	10.564	11.189	17.658	2.098
125.000	-9.331	73.558	8.439	8.960	13.973	2.078
125.125	-8.450	72.162	7.524	8.085	11.221	2.084
125.250	-8.023	69.415	7.073	7.731	8.941	2.092
125.375	-8.008	68.531	6.893	7.645	8.146	2.098
125.500	-8.244	69.347	6.902	7.693	7.775	2.096
125.625	-8.542	70.472	6.967	7.736	7.509	2.088
125.750	-8.561	70.902	7.022	7.738	7.345	2.074
125.875	-8.496	70.761	7.052	7.727	7.316	2.069
126.000	-8.389	70.992	7.075	7.728	7.473	2.073
126.125	-8.366	70.690	7.106	7.742	7.544	2.081
126.250	-8.450	69.411	7.147	7.745	7.626	2.086
126.375	-8.702	67.175	7.204	7.765	7.748	2.091
126.500	-9.121	65.585	7.265	7.805	7.927	2.101
126.625	-9.556	63.687	7.338	7.885	8.076	2.118
126.750	-9.968	62.909	7.430	8.019	8.148	2.138
126.875	-10.189	62.608	7.515	8.175	8.037	2.152
127.000	-10.285	65.326	7.589	8.334	7.721	2.150
127.125	-10.426	68.341	7.588	8.401	7.090	2.143
127.250	-10.735	72.211	7.309	8.086	6.470	2.141
127.375	-11.189	75.388	6.757	7.426	6.043	2.153
127.500	-12.062	79.022	6.061	6.577	5.767	2.180
127.625	-13.096	81.950	5.411	5.799	5.339	2.211
127.750	-13.894	84.364	5.070	5.432	4.832	2.233
127.875	-14.103	85.526	5.065	5.477	4.614	2.233
128.000	-13.558	84.100	5.442	6.000	4.929	2.219
128.125	-12.616	79.826	6.129	6.863	5.577	2.200
128.250	-11.887	75.236	6.884	7.766	6.153	2.181
128.375	-11.425	71.679	7.440	8.418	6.344	2.157
128.500	-11.452	70.027	7.594	8.540	6.183	2.139
128.625	-11.952	69.688	7.461	8.336	6.034	2.132
128.750	-12.677	70.434	7.292	8.078	6.134	2.138
128.875	-13.218	70.797	7.194	7.912	6.371	2.148
129.000	-13.428	71.034	7.213	7.903	6.578	2.158
129.125	-13.508	72.432	7.230	7.902	6.728	2.167
129.250	-13.451	74.586	7.182	7.839	6.836	2.169
129.375	-13.310	75.885	7.084	7.727	6.845	2.167
129.500	-13.134	75.326	6.957	7.596	6.644	2.163
129.625	-13.043	75.542	6.843	7.492	6.307	2.154
129.750	-12.795	74.728	6.754	7.428	6.034	2.141
129.875	-12.554	74.250	6.715	7.424	5.922	2.122
130.000	-12.501	73.052	6.720	7.464	5.931	2.106
130.125	-12.928	73.347	6.708	7.488	6.006	2.099
130.250	-13.813	71.838	6.610	7.400	6.156	2.103
130.375	-15.263	70.582	6.462	7.248	6.287	2.116
130.500	-17.082	69.919	6.291	7.067	6.276	2.130
130.625	-18.955	72.572	6.177	6.948	6.222	2.140
130.750	-20.169	76.430	6.134	6.926	6.308	2.136
130.875	-20.413	80.588	6.182	7.025	6.500	2.125
131.000	-19.886	81.248	6.320	7.255	6.601	2.112
131.125	-19.299	78.390	6.507	7.581	6.572	2.105
131.250	-18.700	73.666	6.684	7.874	6.528	2.096
131.375	-18.177	71.241	6.801	8.058	6.550	2.081
131.500	-17.792	70.918	6.869	8.138	6.632	2.066
131.625	-17.369	72.257	6.909	8.181	6.690	2.064
131.750	-17.052	73.044	6.940	8.277	6.646	2.078
131.875	-16.850	73.731	6.952	8.356	6.538	2.096
132.000	-16.922	73.641	6.953	8.420	6.483	2.108
132.125	-17.132	74.412	6.940	8.434	6.530	2.118
132.250	-17.376	75.172	6.900	8.396	6.635	2.124
132.375	-17.399	76.110	6.841	8.318	6.745	2.126
132.500	-17.216	77.274	6.783	8.233	6.879	2.124
132.625	-16.865	78.293	6.728	8.141	7.039	2.120
132.750	-16.586	77.816	6.693	8.090	7.196	2.116
132.875	-16.316	76.100	6.684	8.087	7.327	2.107
133.000	-16.026	74.715	6.665	8.038	7.319	2.096
133.125	-15.423	73.816	6.603	7.924	7.077	2.083
133.250	-14.767	70.366	6.516	7.758	6.669	2.079
133.375	-14.195	68.085	6.432	7.601	6.325	2.084
133.500	-13.825	68.780	6.411	7.552	6.186	2.097
133.625	-13.523	72.403	6.462	7.622	6.200	2.105
133.750	-12.943	74.932	6.561	7.791	6.262	2.107
133.875	-11.990	75.049	6.651	7.942	6.273	2.109
134.000	-10.929	76.260	6.616	7.897	6.254	2.122
134.125	-9.655	80.357	6.339	7.482	6.280	2.147
134.250	-8.080	85.382	5.873	6.819	6.263	2.179
134.375	-6.237	88.843	5.328	6.070	6.054	2.205
134.500	-4.379	90.842	4.850	5.472	5.637	2.216
134.625	-2.781	94.701	4.523	5.095	5.200	2.215
134.750	-1.747	99.454	4.285	4.825	4.901	2.216
134.875	-1.362	103.986	4.169	4.694	4.749	2.224
135.000	-1.511	107.713	4.211	4.737	4.702	2.236
135.125	-2.049	109.325	4.341	4.863	4.787	2.244
135.250	-2.674	107.791	4.526	5.037	5.146	2.252
135.375	-3.422	104.310	4.750	5.245	5.588	2.255
135.500	-4.055	100.922	5.078	5.551	5.791	2.258
135.625	-4.696	98.496	5.507	5.981	5.888	2.270
135.750	-5.394	95.333	5.913	6.434	6.434	2.298
135.875	-6.130	92.456	6.222	6.807	7.321	2.325
136.000	-6.779	91.909	6.322	6.954	7.577	2.324
136.125	-7.450	92.841	6.241	6.862	6.870	2.297
136.250	-8.076	93.289	5.947	6.527	5.938	2.264
136.375	-8.617	93.108	5.528	6.076	5.584	2.243
