#Depth	DEN	SP	R2M	R025	RA2	GR	RT	RI	RXO
183.000	2.326	-9.658	10.906	6.347	10.906	98.371	8.061	7.396	9.216
183.125	2.327	-9.751	10.317	6.023	10.317	100.059	7.333	6.917	7.973
183.250	2.340	-9.874	9.532	5.745	9.532	102.629	6.656	6.404	6.350
183.375	2.365	-10.001	8.711	5.491	8.711	104.151	6.159	5.956	5.421
183.500	2.396	-10.114	7.937	5.317	7.937	104.387	5.892	5.636	5.178
183.625	2.422	-10.197	7.274	5.275	7.274	101.971	5.867	5.489	5.270
183.750	2.435	-10.269	6.751	5.299	6.751	99.055	5.984	5.473	5.392
183.875	2.435	-10.344	6.389	5.346	6.389	99.358	6.178	5.549	5.365
184.000	2.427	-10.436	6.190	5.429	6.190	101.809	6.385	5.676	5.420
184.125	2.418	-10.540	6.190	5.614	6.190	102.722	6.542	5.813	5.663
184.250	2.409	-10.615	6.345	5.875	6.345	102.436	6.619	5.934	6.043
184.375	2.399	-10.662	6.574	6.151	6.574	103.550	6.620	6.038	6.459
184.500	2.389	-10.696	6.772	6.427	6.772	105.700	6.594	6.142	6.685
184.625	2.379	-10.717	6.856	6.753	6.856	104.585	6.657	6.300	6.794
184.750	2.370	-10.711	6.918	7.183	6.918	100.307	6.916	6.563	7.031
184.875	2.363	-10.677	7.125	7.756	7.125	95.617	7.451	6.988	7.493
185.000	2.353	-10.615	7.646	8.471	7.646	93.065	8.293	7.623	8.333
185.125	2.344	-10.552	8.636	9.271	8.636	92.194	9.403	8.499	10.096
185.250	2.348	-10.510	9.928	9.914	9.928	90.834	10.509	9.466	12.150
185.375	2.372	-10.492	11.317	10.079	11.317	88.467	11.293	10.298	13.727
185.500	2.415	-10.473	12.534	9.629	12.534	85.184	11.457	10.722	15.163
185.625	2.462	-10.466	13.116	8.781	13.116	82.650	10.794	10.439	14.968
185.750	2.487	-10.496	12.845	7.994	12.845	83.325	9.658	9.620	12.184
185.875	2.481	-10.568	11.679	7.407	11.679	85.671	8.402	8.531	8.018
186.000	2.450	-10.697	9.847	6.991	9.847	87.775	7.317	7.472	5.744
186.125	2.412	-10.887	7.804	6.753	7.804	88.686	6.617	6.725	5.292
186.250	2.388	-11.102	6.090	6.685	6.090	89.246	6.275	6.336	5.545
186.375	2.381	-11.339	4.963	6.741	4.963	90.051	6.268	6.290	5.992
186.500	2.389	-11.617	4.452	6.868	4.452	91.366	6.542	6.521	6.480
186.625	2.399	-11.927	4.456	7.096	4.456	92.986	7.038	6.950	6.728
186.750	2.406	-12.260	4.686	7.405	4.686	93.225	7.644	7.440	6.991
186.875	2.408	-12.615	4.997	7.760	4.997	91.934	8.280	7.901	7.796
187.000	2.407	-12.964	5.320	8.121	5.320	90.778	8.708	8.264	9.000
187.125	2.406	-13.268	5.678	8.435	5.678	91.037	8.843	8.464	9.190
187.250	2.405	-13.552	6.092	8.731	6.092	91.951	8.834	8.530	8.671
187.375	2.404	-13.803	6.525	9.029	6.525	92.468	8.830	8.512	8.382
187.500	2.403	-14.018	6.933	9.380	6.933	92.409	8.929	8.488	8.767
187.625	2.404	-14.208	7.318	9.936	7.318	91.331	9.256	8.595	9.479
187.750	2.406	-14.368	7.761	10.781	7.761	89.030	9.872	8.953	10.098
187.875	2.406	-14.482	8.333	11.997	8.333	86.064	10.864	9.682	10.271
188.000	2.400	-14.583	9.024	13.670	9.024	83.674	12.305	10.874	11.093
188.125	2.383	-14.693	9.723	15.821	9.723	82.138	14.237	12.585	13.974
188.250	2.362	-14.811	10.308	18.024	10.308	79.759	16.366	14.547	18.545
188.375	2.347	-14.962	10.748	19.927	10.748	78.718	18.361	16.478	21.755
188.500	2.342	-15.143	11.078	21.454	11.078	81.676	19.954	18.148	21.855
188.625	2.349	-15.346	11.353	22.834	11.353	85.473	21.170	19.522	19.637
188.750	2.358	-15.560	11.685	24.414	11.685	84.724	22.706	20.937	19.419
188.875	2.365	-15.775	12.187	26.254	12.187	80.334	25.149	22.726	24.271
189.000	2.364	-15.959	12.944	28.226	12.944	77.630	28.127	25.069	32.155
189.125	2.354	-16.119	14.008	29.962	14.008	78.279	31.212	27.819	40.711
189.250	2.338	-16.257	15.221	31.124	15.221	77.368	33.728	30.334	41.830
189.375	2.321	-16.368	16.443	31.668	16.443	75.729	35.146	32.044	40.914
189.500	2.306	-16.464	17.536	31.777	17.536	76.545	35.187	32.655	41.545
189.625	2.299	-16.540	18.333	31.723	18.333	80.111	34.081	32.196	40.666
189.750	2.298	-16.606	18.895	31.743	18.895	83.285	32.728	31.321	34.909
189.875	2.300	-16.691	19.339	31.876	19.339	84.542	31.653	30.466	31.470
190.000	2.300	-16.792	19.887	32.161	19.887	85.507	31.105	29.924	32.504
190.125	2.300	-16.892	20.908	32.670	20.908	85.903	31.196	29.942	33.559
190.250	2.299	-16.977	22.473	33.325	22.473	84.014	31.747	30.500	33.357
190.375	2.299	-17.048	24.537	34.161	24.537	82.046	32.689	31.566	34.075
190.500	2.299	-17.119	26.917	35.253	26.917	81.696	34.000	33.058	36.547
190.625	2.302	-17.182	29.311	36.609	29.311	82.543	35.807	34.929	39.412
190.750	2.307	-17.228	31.555	38.173	31.555	82.763	38.255	37.074	39.891
190.875	2.312	-17.243	33.662	39.901	33.662	82.706	41.400	39.477	39.503
191.000	2.315	-17.234	35.780	41.723	35.780	82.044	44.576	42.094	38.542
191.125	2.314	-17.216	38.190	43.644	38.190	78.195	47.432	44.839	41.986
191.250	2.310	-17.227	40.887	45.589	40.887	75.332	50.038	47.567	47.847
191.375	2.305	-17.264	43.690	47.475	43.690	76.370	52.616	50.227	52.466
191.500	2.302	-17.311	46.377	49.339	46.377	78.811	55.371	52.928	52.510
191.625	2.301	-17.384	48.808	51.419	48.808	79.504	58.781	56.129	51.660
191.750	2.302	-17.466	51.211	53.839	51.211	79.734	63.230	60.304	56.868
191.875	2.299	-17.561	53.946	56.546	53.946	80.233	69.087	65.856	65.840
192.000	2.292	-17.675	57.340	59.302	57.340	79.651	76.476	72.880	76.077
192.125	2.279	-17.800	61.733	61.728	61.733	77.105	84.992	80.952	90.693
192.250	2.266	-17.919	66.940	63.576	66.940	74.098	92.972	88.614	103.258
192.375	2.260	-18.019	72.699	64.626	72.699	71.729	98.609	94.397	107.484
192.500	2.264	-18.095	78.750	64.904	78.750	71.549	100.460	97.103	103.134
192.625	2.275	-18.136	84.845	64.521	84.845	74.266	97.660	95.797	95.989
192.750	2.285	-18.182	90.698	63.676	90.698	76.619	92.197	91.840	90.674
192.875	2.290	-18.248	96.173	62.597	96.173	76.290	85.849	86.563	85.618
