#Depth	SP	GR	RI	RT	RXO	DEN
161.875	-26.315	83.507	3.622	4.964	4.195	2.201
162.000	-26.330	85.523	3.528	4.831	4.016	2.213
162.125	-26.376	85.411	3.485	4.802	4.100	2.213
162.250	-26.410	83.871	3.497	4.862	4.273	2.198
162.375	-26.445	82.349	3.520	4.924	4.299	2.179
162.500	-26.476	83.850	3.509	4.913	4.362	2.171
162.625	-26.469	87.596	3.464	4.835	4.470	2.178
162.750	-26.439	91.989	3.394	4.720	4.399	2.190
162.875	-26.376	94.735	3.323	4.606	4.275	2.195
163.000	-26.299	95.702	3.283	4.538	4.165	2.188
163.125	-26.185	96.934	3.291	4.535	4.017	2.179
163.250	-26.084	96.790	3.349	4.603	3.844	2.173
163.375	-26.009	96.226	3.450	4.728	3.743	2.168
163.500	-25.956	95.105	3.564	4.867	3.893	2.165
163.625	-25.921	93.262	3.659	4.979	4.232	2.162
163.750	-25.935	92.814	3.722	5.043	4.353	2.154
163.875	-25.990	93.736	3.739	5.050	4.281	2.133
164.000	-26.021	96.132	3.716	5.009	4.354	2.106
164.125	-25.946	95.701	3.657	4.923	4.368	2.090
164.250	-25.823	92.680	3.557	4.778	4.196	2.105
164.375	-25.735	89.999	3.415	4.573	3.897	2.142
164.500	-25.701	87.579	3.244	4.330	3.502	2.184
164.625	-25.716	87.020	3.082	4.098	3.207	2.217
164.750	-25.792	86.165	2.961	3.933	2.939	2.236
164.875	-25.872	87.985	2.898	3.848	2.766	2.239
165.000	-25.927	89.250	2.885	3.829	2.950	2.228
165.125	-25.983	91.068	2.905	3.851	3.324	2.208
165.250	-26.045	91.017	2.960	3.914	3.631	2.190
165.375	-26.119	92.668	3.052	4.025	3.772	2.185
165.500	-26.192	93.202	3.179	4.182	3.810	2.193
165.625	-26.263	94.262	3.332	4.375	3.942	2.207
165.750	-26.317	93.074	3.489	4.574	4.071	2.219
165.875	-26.334	91.674	3.599	4.708	4.064	2.228
166.000	-26.294	89.209	3.632	4.730	4.121	2.237
166.125	-26.256	86.546	3.579	4.624	4.114	2.244
166.250	-26.229	85.642	3.462	4.425	3.853	2.246
166.375	-26.187	86.488	3.342	4.230	3.607	2.238
166.500	-26.108	90.488	3.286	4.136	3.494	2.220
166.625	-26.001	92.374	3.321	4.182	3.418	2.197
166.750	-25.904	92.031	3.465	4.379	3.379	2.179
166.875	-25.856	88.286	3.706	4.697	3.404	2.175
167.000	-25.826	86.014	4.001	5.058	3.454	2.187
167.125	-25.818	84.215	4.267	5.344	3.575	2.205
167.250	-25.846	84.392	4.432	5.483	3.836	2.217
167.375	-25.882	83.150	4.480	5.475	4.118	2.222
167.500	-25.956	81.547	4.453	5.395	4.204	2.223
167.625	-26.091	80.615	4.439	5.373	4.004	2.227
167.750	-26.249	82.493	4.489	5.467	3.899	2.236
167.875	-26.402	87.362	4.585	5.637	4.296	2.249
168.000	-26.558	94.594	4.680	5.810	4.989	2.258
168.125	-26.726	100.356	4.721	5.900	5.524	2.260
168.250	-26.943	101.167	4.677	5.854	5.709	2.252
168.375	-27.181	98.721	4.569	5.692	5.660	2.239
168.500	-27.415	95.934	4.511	5.582	5.597	2.225
168.625	-27.616	96.897	4.758	5.895	5.611	2.225
168.750	-27.767	97.264	5.585	7.056	6.064	2.258
168.875	-27.858	97.129	7.109	9.235	10.469	2.326
169.000	-27.915	90.526	9.191	12.179	22.645	2.401
169.125	-27.969	82.368	11.199	14.899	35.576	2.436
169.250	-28.043	73.029	12.201	15.950	37.325	2.407
169.375	-28.074	67.461	11.750	14.922	27.204	2.341
169.500	-28.034	64.590	10.180	12.456	15.145	2.277
169.625	-27.922	64.204	8.411	9.960	9.207	2.236
169.750	-27.744	66.153	7.329	8.682	8.032	2.219
169.875	-27.522	68.547	7.050	8.516	7.884	2.221
170.000	-27.235	70.001	6.893	8.446	8.199	2.239
170.125	-26.884	69.795	6.512	8.005	9.138	2.258
170.250	-26.487	70.658	5.812	7.073	8.729	2.259
170.375	-26.070	73.875	4.957	5.939	5.954	2.240
